Year,DroughtCount,FloodingCount,FreezeCount,SevereStormCount,TropicalCycloneCount,WildfireCount,WinterStormCount,AllDisastersCount
1980,1,1,0,0,1,0,0,3
1981,0,0,1,1,0,0,0,2
1982,0,0,0,2,0,0,1,3
1983,1,2,1,0,1,0,0,5
1984,0,0,0,2,0,0,0,2
1985,0,1,1,1,3,0,1,7
1986,1,0,0,1,0,0,0,2
1987,0,0,0,0,0,0,0,0
1988,1,0,0,0,0,0,0,1
1989,1,0,1,1,2,0,1,6
1990,0,1,1,1,0,1,0,4
1991,1,0,0,1,1,1,0,4
1992,0,0,0,4,2,0,1,7
1993,1,1,0,1,0,1,1,5
1994,0,1,0,1,1,1,2,6
1995,1,1,0,2,3,0,0,7
1996,1,1,0,0,1,0,1,4
1997,0,2,0,1,0,0,0,3
1998,1,1,1,3,3,0,1,10
1999,1,0,0,1,1,0,2,5
2000,1,1,0,1,0,1,1,5
2001,0,0,0,2,1,0,0,3
2002,1,0,0,2,2,1,0,6
2003,1,0,0,4,1,1,0,7
2004,0,0,0,2,4,0,0,6
2005,1,0,0,1,4,0,0,6
2006,1,1,0,5,0,1,0,8
2007,1,0,2,1,0,1,0,5
2008,1,1,0,6,3,1,0,12
2009,1,1,0,6,0,1,0,9
2010,0,2,0,4,0,0,1,7
2011,1,2,0,10,2,1,2,18
2012,1,0,0,7,2,1,0,11
2013,1,2,0,7,0,0,0,10
2014,1,1,0,6,0,0,1,9
2015,1,2,0,6,0,1,1,11
2016,1,4,0,8,1,1,0,15
2017,1,2,1,10,3,1,0,18
2018,1,0,0,9,2,1,2,15
2019,0,3,0,8,2,1,0,14
2020,1,0,0,13,7,1,0,22
2021,1,2,0,11,4,1,1,20